CycID,BH.Q,PER,M_ZT0,M_ZT0.1,M_ZT0.2,M_ZT4,M_ZT4.1,M_ZT4.2,M_ZT8,M_ZT8.1,M_ZT8.2,M_ZT12,M_ZT12.1,M_ZT12.2,M_ZT16,M_ZT16.1,M_ZT16.2,M_ZT20,M_ZT20.1,M_ZT20.2,gene_product,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009811-RA,0.02253974,24,145,193,224,253,144,313,224,304,325,202,195,159,249,148,144,270,148,169,Cdk5rap3 ,GO:0000079, GO:0007346, GO:0000079, GO:0007346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000471-RA,7.41E-04,24,1056.26,1116.49,1429.14,732.095,415.777,1086.49,649.908,756.401,685.673,630.435,767.543,636.174,849.164,1015.5,956.155,1436.95,1224.89,982.753,F-box and leucine-rich repeat protein 4 ,GO:0000086, GO:0031146, GO:0019005, GO:0051726, GO:0005829, GO:0005634, GO:0061630, GO:0000086, GO:0031146, GO:0051726, GO:0005634, GO:0005829, GO:0019005, GO:0000086, GO:0031146, GO:0019005, GO:0051726, GO:0005829, GO:0005634, GO:0061630, GO:0000086, GO:0031146, GO:0051726, GO:0005634, GO:0005829, GO:0019005, GO:0005515, GO:0016567, GO:0005515, GO:0016567,,,,,,,
AGAP002805-RA,0.02253974,24,63,67,93,25,23,45,30,58,38,18,27,35,81,87,91,119,72,66,DNA excision repair protein ERCC-4 ,GO:0000110, GO:0000724, GO:0006296, GO:1901255, GO:0003684, GO:0000712, GO:0000014, GO:0003697, GO:0000014, GO:0003684, GO:0003697, GO:0000712, GO:0000724, GO:0006296, GO:1901255, GO:0000110, GO:0003697, GO:0006281, GO:0004520, GO:0004518, GO:0003677, GO:0003677, GO:0003697, GO:0004518, GO:0004520, GO:0006281,,,,,,,,,,,
AGAP001143-RA,0.001007748,24,2825,3168,4851,2814,1869,4070,2053,1950,2606,1347,1050,1287,2823,2518,2394,4487,3523,3824,histone deacetylase 3 ,GO:0000118, GO:0070932, GO:0045944, GO:0004407, GO:0070933, GO:0004407, GO:0045944, GO:0070932, GO:0070933, GO:0000118, GO:0032041, GO:0006325, GO:0046872, GO:0004407, GO:0016575, GO:0004407, GO:0004407, GO:0016787, GO:0032041, GO:0046872, GO:0006325, GO:0016575, GO:0005634,,,,,,,,,,,,,,
AGAP006403-RA,0.003536595,20,245,273,329,246.088,168,301,250,353,338.155,428.087,387,329,378,385.388,446.208,368,245,245,polycomb group RING finger protein 4 ,GO:0000122, GO:0036353, GO:0031507, GO:0035102, GO:1990841, GO:1990841, GO:0000122, GO:0036353, GO:0035102, GO:0046872,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002601-RA,0.013521275,12,5,2,10,22,11,25,20,27,25,23,14,5,26,67,54,15,3,14,nervous fingers ,GO:0000122, GO:0005634, GO:0000978, GO:0030182, GO:0001227, GO:0017053, GO:0010564, GO:0001227, GO:0000122, GO:0010564, GO:0030182, GO:0005634, GO:0017053, GO:0003676, GO:0003700, GO:0006355, GO:0003700,,,,,,,,,,,,,,,,,,,,
AGAP010459-RA,0.01040207,24,323,430,447,347,246,468,350,467,454,467,458,383,631,592,561,634,428,557,transcriptional adapter 3 ,GO:0000124, GO:0006357, GO:0043966, GO:0003713, GO:0043967, GO:0004402, GO:0003713, GO:0006357, GO:0043966, GO:0043967, GO:0000124, GO:0005671, GO:1903508,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011570-RA,0.008053382,24,721,819,1091,1432,760,1861,1121,1285,1379,1111,1139,890,1142,997,1104,1166,710,970,unspecified product ,GO:0000138, GO:0005797, GO:0016020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006251-RA,0.006235544,20,873,1063,1464,991,723,1482,1095,1369,1330,1514,1404,1209,1533,1406,1486,1520,976,1259,t-SNARE coiled-coil homology domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7Q5R2] ,GO:0000149, GO:0016021, GO:0030285, GO:0031201, GO:0006886, GO:0048278, GO:0005484, GO:0042147, GO:0006906, GO:0012505, GO:0005829, GO:0048193, GO:0005794, GO:0016020, GO:0016192,,,,,,,,,,,,,,,,,,,,,,
AGAP011727-RA,0.037253837,24,680,676,877,623,370,672,634,672,663,896,677,780,1187,959,911,1413,788,887,syntaxin 13 ,GO:0000149, GO:0005484, GO:0006886, GO:0006906, GO:0048278, GO:0012505, GO:0016021, GO:0031201, GO:0016192, GO:0016021, GO:0016020, GO:0016192, GO:0016020, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,,
AGAP009893-RC,1.76E-04,24,728.388,946.887,1122.04,737.697,478.214,1018.05,651.658,1005.47,994.925,1040.64,1149.44,957.38,1357.84,1382.73,1230.61,1470.15,954.583,1145.03,nocturnin ,GO:0000175, GO:0032922, GO:0004535, GO:0007623, GO:0003824, GO:0004535, GO:0007623, GO:0090503, GO:0032922, GO:0004535, GO:0007623, GO:0003824, GO:0004535, GO:0007623, GO:0090503, GO:0032922, GO:0004535, GO:0007623, GO:0003824, GO:0004535, GO:0007623, GO:0090503,,,,,,,,,,,,,,,
AGAP010791-RA,0.013521275,20,43,55,80,21,24,45,24,42,18,26,30,17,70,80,49,66,39,64,polyribonucleotide nucleotidyltransferase ,GO:0000175, GO:0004654, GO:0000957, GO:0000958, GO:0000963, GO:0000965, GO:0006401, GO:0005739, GO:0005829, GO:0080090, GO:0051171, GO:0006402, GO:0006396, GO:0005737, GO:0004654, GO:0003723, GO:0003676, GO:0003676, GO:0003723, GO:0004654, GO:0006396, GO:0006402, GO:0090503,,,,,,,,,,,,,,
AGAP005191-RA,0.004735301,20,131,148,237,106,63,157,90,162,108,80,134,105,183,217,259,213,142,162,exosome complex exonuclease DIS3/RRP44 ,GO:0000177, GO:0000175, GO:0004519, GO:0016075, GO:0000178, GO:0000176, GO:0000175, GO:0004519, GO:0016075, GO:0000176, GO:0000177, GO:0000178, GO:0003723, GO:0004540, GO:0003723, GO:0004540, GO:0090305, GO:0090501, GO:0090503,,,,,,,,,,,,,,,,,,
AGAP008575-RA,0.004735301,24,647,991,1078,1285,630,1488,674,980,902,821,872,700,735,731,681,757,449,527,ubiquitin-conjugating enzyme E2 Q ,GO:0000209, GO:0005634, GO:0061631, GO:0061631, GO:0016567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000091-RA,0.008053382,24,2553.23,2935.12,3178.48,2134.06,1447.38,2948.82,1749.3,2928.65,2441.42,1868.97,1834.06,1763.23,2526.34,1939.23,1895.09,3678.32,2764.51,2652.41,methylsterol monooxygenase ,GO:0000254, GO:0016126, GO:0005789, GO:0016020, GO:0016491, GO:0000254, GO:0016491, GO:0016126, GO:0005789, GO:0016020, GO:0016021, GO:0016491, GO:0005506, GO:0008610, GO:0005506, GO:0016491, GO:0008610, GO:0055114, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,
AGAP009491-RA,0.029078823,20,1707,1906,2714,2346,1518,3433,1960,2132,2857,2168,1730,2674,2258,1744,1810,2344,2646,2602,F-type H+-transporting ATPase subunit g ,GO:0000276, GO:0015986, GO:0046933, GO:0015986, GO:0000276, GO:0000276, GO:0015078, GO:0015986, GO:0015078, GO:0006754, GO:0006811, GO:0015986, GO:0015986, GO:0000276, GO:0000276, GO:0005739, GO:0016020, GO:0045263,,,,,,,,,,,,,,,,,,,
AGAP010929-RA,0.001397691,24,9827.49,12834.6,15810.8,8330.28,5092.53,13421.3,9370.65,11543.1,13184.7,13509.7,12237.7,11177.3,15069.6,15151.1,14202,18403.1,12212.6,14217.6,tubulin beta-chain ,GO:0000278, GO:0005200, GO:0005874, GO:0005737, GO:0000226, GO:0005525, GO:0005200, GO:0005525, GO:0000226, GO:0000278, GO:0007017, GO:0005737, GO:0005874, GO:0005200, GO:0005874, GO:0003924, GO:0005525, GO:0007017, GO:0000166, GO:0003924, GO:0003924, GO:0005200, GO:0005525, GO:0005525, GO:0007017, GO:0005737, GO:0005856, GO:0005874, GO:0005874,,,,,,,,
AGAP008160-RA,0.037253837,24,210,248,332,245,170,365,235,247,314,241,216,212,273,288,284,337,217,254,myb proto-oncogene protein ,GO:0000278, GO:0045893, GO:0003677, GO:0003677, GO:0005634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000651-RA,0.006235544,20,9890.04,10537.8,13940,11626.5,6265.73,15322.1,9129.05,12020.8,11813.1,8896.87,7114.53,7023.77,10566.7,9119.91,8452.42,16260.3,9677.19,11862.7,Actin-5C [Source:UniProtKB/Swiss-Prot;Acc:P84185] ,GO:0000281, GO:0000281, GO:0015629, GO:0000281, GO:0000281, GO:0015629, GO:0005856, GO:0005737, GO:0005524, GO:0000166, GO:0005524, GO:0005737, GO:0005856, GO:0005856, GO:0005737, GO:0005524, GO:0000166, GO:0005524, GO:0005737, GO:0005856,,,,,,,,,,,,,,,,,
AGAP000651-RB,0.008053382,20,3634.53,4092.24,5342.56,6989.5,3473.4,10175.6,5424.25,5115.01,6879.92,4046.42,3751.83,3648.47,4915.09,4480.23,3362.98,6818.92,2208.3,4732.45,Actin-5C [Source:UniProtKB/Swiss-Prot;Acc:P84185] ,GO:0000281, GO:0000281, GO:0015629, GO:0000281, GO:0000281, GO:0015629, GO:0005856, GO:0005737, GO:0005524, GO:0000166, GO:0005524, GO:0005737, GO:0005856, GO:0005856, GO:0005737, GO:0005524, GO:0000166, GO:0005524, GO:0005737, GO:0005856,,,,,,,,,,,,,,,,,
AGAP001676-RA,0.029078823,24,168.692,232.553,235.476,175.567,125.02,275.614,204.823,308.096,339.479,341.753,302.222,326.713,132.122,172.405,152.21,223.592,81.3963,135.592,"actin, cytoplasmic ",GO:0000281, GO:0000281, GO:0015629, GO:0000166, GO:0005524, GO:0005737, GO:0005856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP005783-RA,0.001397691,20,41,69,55,34,23,23,108,113,164,276,201,185,124,128,140,103,93,86,unspecified product ,GO:0000281, GO:0000915, GO:0030865, GO:0031106, GO:1904498, GO:0005826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012247-RA,0.003536595,20,97,156,213,204,172,407,154,354,321,226,318,279,159,155,117,215,173,193,phosphoserine phosphatase ,GO:0000287, GO:0016791, GO:0006564, GO:0016311, GO:0005737, GO:0046872, GO:0036424, GO:0006564, GO:0006564, GO:0016311,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011448-RA,0.029078823,24,127,146,169,106,107,194,88,129,104,86,85,114,126,184,139,157,119,174,Flap endonuclease 1 [Source:UniProtKB/Swiss-Prot;Acc:Q7Q323] ,GO:0000287, GO:0017108, GO:0004523, GO:0008409, GO:0005634, GO:0030145, GO:0000287, GO:0004523, GO:0008409, GO:0017108, GO:0030145, GO:0048256, GO:0005634, GO:0006284, GO:0005654, GO:0005739, GO:0005730, GO:0003677, GO:0043137, GO:0016788, GO:0003824, GO:0004518, GO:0000287, GO:0003677, GO:0003677, GO:0003824, GO:0004518, GO:0004518, GO:0004519, GO:0004527, GO:0008409, GO:0016787, GO:0016788, GO:0017108, GO:0046872, GO:0006260, 
AGAP005223-RA,0.017446449,24,477,553,776,587,461,842,438,633,621,270,315,267,545,728,611,712,519,513,Lipocln_cytosolic_FA-bd_dom domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7Q9I2] ,GO:0000302, GO:0005737, GO:0006629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009281-RA,0.029078823,24,0,0,2,0,0,0,1,1,1,9,10,9,1,9,3,2,3,1,Apolipoprotein D precursor [Source:UniProtKB/TrEMBL;Acc:A0A1S4H0P2] ,GO:0000302, GO:0006629, GO:0005737, GO:0008289, GO:0007568, GO:0006869, GO:0008289, GO:0006869, GO:0007568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012369-RA,0.01040207,24,173,204,346,132,88,248,144,197,146,185,196,145,335,293,302,342,248,289,pre-mRNA-splicing factor SYF1 ,GO:0000349, GO:0000398, GO:0000974, GO:0071007, GO:0071013, GO:0071014, GO:0000398, GO:0005515, GO:0006396, GO:0006396,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011554-RA,0.048019251,24,2276,3139,3790,1783,1335,2732,2001,3373,3455,2115,1691,1668,2034,2528,2372,3411,2357,2704,muscleblind ,GO:0000381, GO:0005737, GO:0003723, GO:0005654, GO:0003723, GO:0000381, GO:0005634, GO:0005654, GO:0005737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP008303-RA,0.037253837,24,510,665,743,487,334,753,468,650,647,378,511,455,753,728,846,918,562,663,"splicing factor, arginine/serine-rich 7 ",GO:0000398, GO:0016607, GO:0003723, GO:0003723, GO:0000381, GO:0045292, GO:0005634, GO:0016607, GO:0008270, GO:0003723, GO:0003676, GO:0003676, GO:0003723, GO:0008270,,,,,,,,,,,,,,,,,,,,,,,
AGAP012142-RA,0.01040207,24,205,245,257,178,145,290,165,216,194,127,172,173,300,325,285,345,262,396,U4/U6 small nuclear ribonucleoprotein Prp31 ,GO:0000398, GO:0005687, GO:0071011, GO:0097526, GO:0046540, GO:0000244, GO:0005681, GO:0003723, GO:0000398, GO:0000244, GO:0000398, GO:0046540,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009991-RA,2.63E-04,24,3642,3853,4912,3654,2745,3798,1715,2957,2035,908,1676,706,2327,2476,1607,4230,2984,3067,Cyclophilin B precursor ,GO:0000413, GO:0006457, GO:0043231, GO:0016018, GO:0003755, GO:0005737, GO:0003755, GO:0016018, GO:0051082, GO:0042026, GO:0000413, GO:0006457, GO:0003755, GO:0003755, GO:0003755, GO:0016853, GO:0000413, GO:0006457,,,,,,,,,,,,,,,,,,,
AGAP007112-RA,0.048019251,24,145,309,265,120,127,207,102,211,148,116,129,154,316,285,289,278,265,252,Pescadillo homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7QIX1] ,GO:0000463, GO:0003723, GO:0070545, GO:0000463, GO:0070545, GO:0043021, GO:0000466, GO:0030687, GO:0005654, GO:0005730, GO:0042254, GO:0043021, GO:0000463, GO:0000466, GO:0006364, GO:0042254, GO:0042254, GO:0042273, GO:0005634, GO:0005654, GO:0005730, GO:0005730, GO:0030687,,,,,,,,,,,,,,
AGAP004678-RA,0.003536595,20,132,127,157,171,140,221,83,126,125,123,100,51,181,125,75,261,193,145,unspecified product ,GO:0000463, GO:0000492, GO:0048254, GO:0005634, GO:0070761, GO:0000492, GO:0005634, GO:0000463, GO:0070761, GO:0048254, GO:0046872,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007254-RA,0.001971123,20,94,92,156,83,51,90,54,80,98,61,56,59,142,107,105,185,99,129,ribosome biogenesis protein UTP30 ,GO:0000470, GO:0030686, GO:0003723, GO:0003723, GO:0000470, GO:0030686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002690-RA,0.002630204,24,146,163,191,84,52.1497,153,61,130,74,93,144,84.9772,248,265,240,234,185,254,ATP-dependent DNA helicase 2 subunit 1 ,GO:0000723, GO:0043564, GO:0006303, GO:0071481, GO:0071480, GO:0042162, GO:0003690, GO:0042162, GO:0000723, GO:0006303, GO:0071480, GO:0071481, GO:0043564, GO:0000723, GO:0043564, GO:0006303, GO:0071481, GO:0071480, GO:0042162, GO:0003690, GO:0042162, GO:0000723, GO:0006303, GO:0071480, GO:0071481, GO:0043564, GO:0000723, GO:0003684, GO:0006310, GO:0043564, GO:0016787, GO:0006303, GO:0003678, GO:0005524, GO:0042162, GO:0005634, 
AGAP004892-RA,7.41E-04,24,107.18,160.376,183.5,85,81.5,132.5,185.731,209.193,268,486.19,531.689,360.014,447.013,476.678,725.271,622.876,385.265,388.355,unspecified product ,GO:0000902, GO:0000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004892-RB,7.41E-04,24,107.18,160.376,183.5,85,81.5,132.5,185.731,209.193,268,486.19,531.689,360.014,447.013,476.678,725.271,622.876,385.265,388.355,unspecified product ,GO:0000902, GO:0000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007217-RA,0.004735301,24,225,276,367,234,137,258,141,212,185,172,142,143,322,380,259,354,268,324,pre-mRNA-processing factor 19 ,GO:0000974, GO:0071006, GO:0005737, GO:0000398, GO:0004842, GO:0004842, GO:0000349, GO:0000974, GO:0071006, GO:0071013, GO:0000974, GO:0000398, GO:0070534, GO:0061630, GO:0004842, GO:0006281, GO:0016567, GO:0005515, GO:0004842, GO:0061630, GO:0000398, GO:0006281, GO:0016567, GO:0000974,,,,,,,,,,,,,
AGAP007954-RA,0.048019251,12,856,1060,1446,601,515,1069,903,1173,1344,1267,1068,899,1279,1232,1297,1995,1176,1188,RING finger protein 10 ,GO:0000976, GO:0045944, GO:0045944, GO:0005737, GO:0046872, GO:0046872, GO:0046872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP029560-RA,0.02253974,20,454,568,684,538,416,555,550,675,720,916,1003,753,751,835,815,733,562,539,unspecified product ,GO:0000976, GO:0000977, GO:0000981, GO:0008134, GO:0030374, GO:0038023, GO:0098531, GO:0000122, GO:0007275, GO:0009755, GO:0030154, GO:0033993, GO:0045944, GO:0005634, GO:0090575, GO:0043565, GO:0008270, GO:0005634, GO:0003700, GO:0006355, GO:0003677, GO:0003677, GO:0003700, GO:0003707, GO:0008270, GO:0043565, GO:0046872, GO:0006355, GO:0043401, GO:0005634, GO:0005634, GO:0004879, GO:0030522,,,,
AGAP001856-RA,4.77E-05,24,225.65,472.203,466.111,38.0788,50.042,86.2026,11.1107,36.0619,29.5601,256.205,271.799,233.378,1063.12,1257.9,1147.2,1161,1073.08,937.286,period circadian protein ,GO:0000976, GO:0001222, GO:0008134, GO:0000122, GO:0009416, GO:0032922, GO:0043153, GO:0005634, GO:0005737, GO:0006357, GO:0005634, GO:0006355, GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,
AGAP029539-RB,0.02253974,12,20.104,25.0084,35.7959,6.96141,16.3769,13.2689,0,10.5703,19.2697,22.3547,38.8641,15.8665,3.68897,6.20099,6.16427,22.153,15.1859,13.4975,unspecified product ,GO:0000976, GO:0000977, GO:0000981, GO:0008134, GO:0030374, GO:0038023, GO:0098531, GO:0000122, GO:0006629, GO:0007275, GO:0030154, GO:0033993, GO:0042632, GO:0045944, GO:0055088, GO:0071222, GO:0005634, GO:0090575, GO:0043565, GO:0035100, GO:0035076, GO:0008270, GO:0005634, GO:0004879, GO:0003677, GO:0006355, GO:0003700, GO:0003677, GO:0003677, GO:0003700, GO:0003707, GO:0004879, GO:0008270, GO:0035100, GO:0043565, GO:0046872, 
AGAP003844-RA,0.01040207,24,325,447,507,275,241,412,334,560,519,5003,5469,4647,2918,3515,3014,4850,3261,3666,Class b basic helix-loop-helix protein ,GO:0000977, GO:0001227, GO:0000122, GO:0009952, GO:0030154, GO:0042752, GO:0050767, GO:0005634, GO:0046983, GO:0006355, GO:0003677, GO:0003677, GO:0046983, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,,,,,,
AGAP000858-RA,7.41E-04,24,1284,1309,1607,698,454,922,714,900,977,1083,965,916,1618,1716,1840,2265,1579,1499,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GA45] ,GO:0000977, GO:0000981, GO:0003677, GO:0005634, GO:0000981, GO:0006355, GO:0003677, GO:0003677, GO:0043565, GO:0006355, GO:0006357, GO:0005634, GO:0005634,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007608-RA,0.01040207,16,783.031,1062.57,1013.89,689.439,493.569,1047.18,1095.68,1557.36,1537,1448.1,1506.95,1154.9,899.075,1105.71,1232.01,1266.59,807.673,875.682,"MADS-box transcription enhancer factor 2, invertebrate ",GO:0000977, GO:0046983, GO:0045944, GO:0005634, GO:0003677, GO:0000977, GO:0046983, GO:0045944, GO:0005634, GO:0003677, GO:0000977, GO:0046983, GO:0045944, GO:0005634, GO:0003677,,,,,,,,,,,,,,,,,,,,,,
AGAP006598-RA,2.63E-04,24,177,208,279,203,106,317,308,501,637,1304,1146,915,475,573,638,515,346,400,unspecified product ,GO:0000977, GO:0005634, GO:0045944, GO:0001228, GO:0005737, GO:0006357, GO:0006357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004651-RA,0.02253974,16,297,407,463,300,231,436,339,400,429,469,405,382,478,449,411,433,248,350,unspecified product ,GO:0000977, GO:0043565, GO:0005634, GO:0003676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011625-RA,0.004735301,16,219,313,366,232,124,281,303,349,388,409,433,309,340,343,460,398,249,244,"transcription factor AP-2, invertebrate ",GO:0000977, GO:0000981, GO:0006357, GO:0042127, GO:0003677, GO:0005634, GO:0003700, GO:0006355, GO:0003700, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006592-RA,7.41E-04,24,267.257,331.623,358.861,318.481,291.008,466.825,239.288,291.688,425.473,100.238,88.3269,93.51,255.333,203.472,172.248,281.577,230.228,236.324,unspecified product ,GO:0000977, GO:0003700, GO:0031490, GO:0042826, GO:0043565, GO:0045165, GO:0005634, GO:0005737, GO:0043229, GO:0001227, GO:0005515, GO:0003676, GO:0006355, GO:0043229, GO:0001227, GO:0005515, GO:0003676, GO:0043229, GO:0001227, GO:0005515, GO:0003676,,,,,,,,,,,,,,,,
AGAP006592-RC,0.017446449,24,99.4213,209.802,104.627,181.478,140.548,308.523,599.294,686.309,932.735,149.869,124.415,103.258,130.057,175.68,206.894,199.076,60.2507,99.2,unspecified product ,GO:0000977, GO:0003700, GO:0031490, GO:0042826, GO:0043565, GO:0045165, GO:0005634, GO:0005737, GO:0043229, GO:0001227, GO:0005515, GO:0003676, GO:0006355, GO:0043229, GO:0001227, GO:0005515, GO:0003676, GO:0043229, GO:0001227, GO:0005515, GO:0003676,,,,,,,,,,,,,,,,
AGAP029242-RA,0.01040207,24,110,123,166,109,103,164,172,230,308,345,248,264,193,214,275,334,152,131,unspecified product ,GO:0000977, GO:0000981, GO:0005634, GO:0003677, GO:0005634, GO:0003677, GO:0003677, GO:0005634, GO:0006357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012342-RA,0.008053382,20,14,14,16,38,12,45,76,130,68,55,66,52,71,35,32,41,30,57,"hairy and enhancer of split, invertebrate ",GO:0000977, GO:0001227, GO:0000122, GO:0009952, GO:0030154, GO:0050767, GO:0005634, GO:0046983, GO:0006355, GO:0003677, GO:0003677, GO:0046983, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,,,,,,,
AGAP009346-RA,0.02253974,24,28,27,39,29,25,33,22,23,29,30,15,27,60,53,45,76,49,37,unspecified product ,GO:0000977, GO:0043565, GO:0005634, GO:0003676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001536-RA,0.037253837,24,125,162,175,105,107,198,194,193,265,409,244,338,191,245,213,251,246,225,unspecified product ,GO:0000978, GO:0006357, GO:0005634, GO:0000981, GO:0000978, GO:0000981, GO:0006357, GO:0005634, GO:0006357, GO:0006355, GO:0003700, GO:0003677, GO:0003677, GO:0003677, GO:0003700, GO:0006355, GO:0006357,,,,,,,,,,,,,,,,,,,,
